Perimeter_ZN_1_wall_east
int_wall
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
G01 13mm gypsum board,0.0127,Smooth,0.16,800.0,1090.0,0.9,0.7,0.5,None,None,None,None,440
G01 13mm gypsum board,0.0127,Smooth,0.16,800.0,1090.0,0.9,0.7,0.5,None,None,None,None,440

Perimeter_ZN_1_wall_north
int_wall
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
G01 13mm gypsum board,0.0127,Smooth,0.16,800.0,1090.0,0.9,0.7,0.5,None,None,None,None,440
G01 13mm gypsum board,0.0127,Smooth,0.16,800.0,1090.0,0.9,0.7,0.5,None,None,None,None,440

Core_ZN_wall_south
int_wall
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
G01 13mm gypsum board,0.0127,Smooth,0.16,800.0,1090.0,0.9,0.7,0.5,None,None,None,None,440
G01 13mm gypsum board,0.0127,Smooth,0.16,800.0,1090.0,0.9,0.7,0.5,None,None,None,None,440

Core_ZN_wall_east
int_wall
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
G01 13mm gypsum board,0.0127,Smooth,0.16,800.0,1090.0,0.9,0.7,0.5,None,None,None,None,440
G01 13mm gypsum board,0.0127,Smooth,0.16,800.0,1090.0,0.9,0.7,0.5,None,None,None,None,440

Core_ZN_wall_north
int_wall
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
G01 13mm gypsum board,0.0127,Smooth,0.16,800.0,1090.0,0.9,0.7,0.5,None,None,None,None,440
G01 13mm gypsum board,0.0127,Smooth,0.16,800.0,1090.0,0.9,0.7,0.5,None,None,None,None,440

Core_ZN_wall_west
int_wall
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
G01 13mm gypsum board,0.0127,Smooth,0.16,800.0,1090.0,0.9,0.7,0.5,None,None,None,None,440
G01 13mm gypsum board,0.0127,Smooth,0.16,800.0,1090.0,0.9,0.7,0.5,None,None,None,None,440

Perimeter_ZN_3_wall_south
int_wall
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
G01 13mm gypsum board,0.0127,Smooth,0.16,800.0,1090.0,0.9,0.7,0.5,None,None,None,None,440
G01 13mm gypsum board,0.0127,Smooth,0.16,800.0,1090.0,0.9,0.7,0.5,None,None,None,None,440

Perimeter_ZN_3_wall_west
int_wall
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
G01 13mm gypsum board,0.0127,Smooth,0.16,800.0,1090.0,0.9,0.7,0.5,None,None,None,None,440
G01 13mm gypsum board,0.0127,Smooth,0.16,800.0,1090.0,0.9,0.7,0.5,None,None,None,None,440

Perimeter_ZN_3_wall_north
nonres_ext_wall_grd
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
F07 25mm stucco,0.0254,Smooth,0.72,1856.0,840.0,0.9,0.7,0.7,None,None,None,None,505
G01 16mm gypsum board,0.0159,MediumSmooth,0.16,800.0,1090.0,0.9,0.7,0.7,None,None,None,None,544
Nonres_Exterior_Wall_Insulation_grd,0.0,MediumSmooth,None,None,None,0.9,0.7,0.7,1.06783369996193,None,None,None,258
G01 16mm gypsum board,0.0159,MediumSmooth,0.16,800.0,1090.0,0.9,0.7,0.7,None,None,None,None,544

Perimeter_ZN_3_wall_east
int_wall
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
G01 13mm gypsum board,0.0127,Smooth,0.16,800.0,1090.0,0.9,0.7,0.5,None,None,None,None,440
G01 13mm gypsum board,0.0127,Smooth,0.16,800.0,1090.0,0.9,0.7,0.5,None,None,None,None,440

Perimeter_ZN_4_floor

Perimeter_ZN_2_floor

Perimeter_ZN_1_floor

Core_ZN_floor

Attic_soffit_west
ext_soffit_floor
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
G02 16mm plywood,0.0159,Smooth,0.12,544.0,1210.0,0.9,0.7,0.7,None,None,None,None,427

Attic_soffit_south
ext_soffit_floor
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
G02 16mm plywood,0.0159,Smooth,0.12,544.0,1210.0,0.9,0.7,0.7,None,None,None,None,427

Attic_soffit_east
ext_soffit_floor
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
G02 16mm plywood,0.0159,Smooth,0.12,544.0,1210.0,0.9,0.7,0.7,None,None,None,None,427

Attic_floor_perimeter_south
nonres_roof_floor
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
G01 16mm gypsum board,0.0159,MediumSmooth,0.16,800.0,1090.0,0.9,0.7,0.7,None,None,None,None,544
Nonres_Roof_Insulation,0.0,MediumSmooth,None,None,None,0.9,0.7,0.7,6.23478687961654,None,None,None,284

Attic_floor_perimeter_west
nonres_roof_floor
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
G01 16mm gypsum board,0.0159,MediumSmooth,0.16,800.0,1090.0,0.9,0.7,0.7,None,None,None,None,544
Nonres_Roof_Insulation,0.0,MediumSmooth,None,None,None,0.9,0.7,0.7,6.23478687961654,None,None,None,284

Attic_floor_perimeter_east
nonres_roof_floor
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
G01 16mm gypsum board,0.0159,MediumSmooth,0.16,800.0,1090.0,0.9,0.7,0.7,None,None,None,None,544
Nonres_Roof_Insulation,0.0,MediumSmooth,None,None,None,0.9,0.7,0.7,6.23478687961654,None,None,None,284

Attic_floor_core
nonres_roof_floor
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
G01 16mm gypsum board,0.0159,MediumSmooth,0.16,800.0,1090.0,0.9,0.7,0.7,None,None,None,None,544
Nonres_Roof_Insulation,0.0,MediumSmooth,None,None,None,0.9,0.7,0.7,6.23478687961654,None,None,None,284

Attic_floor_perimeter_north
nonres_roof_floor
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
G01 16mm gypsum board,0.0159,MediumSmooth,0.16,800.0,1090.0,0.9,0.7,0.7,None,None,None,None,544
Nonres_Roof_Insulation,0.0,MediumSmooth,None,None,None,0.9,0.7,0.7,6.23478687961654,None,None,None,284

Attic_soffit_north
ext_soffit_floor
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
G02 16mm plywood,0.0159,Smooth,0.12,544.0,1210.0,0.9,0.7,0.7,None,None,None,None,427

Perimeter_ZN_3_floor

Perimeter_ZN_4_ceiling
nonres_roof
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Nonres_Roof_Insulation,0.0,MediumSmooth,None,None,None,0.9,0.7,0.7,6.23478687961654,None,None,None,284
G01 16mm gypsum board,0.0159,MediumSmooth,0.16,800.0,1090.0,0.9,0.7,0.7,None,None,None,None,544

Perimeter_ZN_2_ceiling
nonres_roof
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
Nonres_Roof_Insulation,0.0,MediumSmooth,None,None,None,0.9,0.7,0.7,6.23478687961654,None,None,None,284
G01 16mm gypsum board,0.0159,MediumSmooth,0.16,800.0,1090.0,0.9,0.7,0.7,None,None,None,None,544

Perimeter_ZN_1_ceiling
nonres_roof
Name,Thickness,Roughness,Conductivity,Density,SpecificHeat,ThermalAbsorptance,SolarAbsorptance,VisibleAbsorptance,ThermalResistance,UFactor,SolarHeatGainCoefficient,VisibleTransmittance,id
