Time,THERMAL ZONE 1::Des Heat Load [W],THERMAL ZONE 1:SINGAPORE ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1::Des Heat Mass Flow [kg/s],THERMAL ZONE 1:SINGAPORE ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 1::Des Latent Heat Load [W],THERMAL ZONE 1::Des Latent Cool Load [W],THERMAL ZONE 1::Des Latent Heat Mass Flow [kg/s],THERMAL ZONE 1::Des Latent Cool Mass Flow [kg/s],THERMAL ZONE 1::Des Heat Load No DOAS [W],THERMAL ZONE 1::Des Sens Cool Load No DOAS [W],THERMAL ZONE 1::Des Latent Heat Load No DOAS [W],THERMAL ZONE 1::Des Latent Cool Load No DOAS [W],THERMAL ZONE 1::Heating Zone Temperature [C],THERMAL ZONE 1::Heating Zone Relative Humidity [%],THERMAL ZONE 1:SINGAPORE ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Temperature [C],THERMAL ZONE 1:SINGAPORE ANN CLG .4% CONDNS DB=>MWB:Cooling Zone Relative Humidity [%]
03:20:00,0.000000E+00,7.940211E+01,0.000000E+00,7.008050E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
03:30:00,0.000000E+00,7.753705E+01,0.000000E+00,6.843439E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
03:40:00,0.000000E+00,7.575153E+01,0.000000E+00,6.685849E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
03:50:00,0.000000E+00,7.403766E+01,0.000000E+00,6.534582E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
04:00:00,0.000000E+00,7.238881E+01,0.000000E+00,6.389054E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
04:10:00,0.000000E+00,7.080157E+01,0.000000E+00,6.248964E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
04:20:00,0.000000E+00,6.927539E+01,0.000000E+00,6.114264E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
04:30:00,0.000000E+00,6.780794E+01,0.000000E+00,5.984745E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
04:40:00,0.000000E+00,6.639865E+01,0.000000E+00,5.860361E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
04:50:00,0.000000E+00,6.504776E+01,0.000000E+00,5.741131E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
05:00:00,0.000000E+00,6.375505E+01,0.000000E+00,5.627037E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
05:10:00,0.000000E+00,6.253155E+01,0.000000E+00,5.519050E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
05:20:00,0.000000E+00,6.139121E+01,0.000000E+00,5.418404E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
05:30:00,0.000000E+00,6.034781E+01,0.000000E+00,5.326313E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
05:40:00,0.000000E+00,5.941397E+01,0.000000E+00,5.243891E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
05:50:00,0.000000E+00,5.860116E+01,0.000000E+00,5.172153E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
06:00:00,0.000000E+00,5.791981E+01,0.000000E+00,5.112017E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
06:10:00,0.000000E+00,5.738213E+01,0.000000E+00,5.064562E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
06:20:00,0.000000E+00,5.700123E+01,0.000000E+00,5.030943E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
06:30:00,0.000000E+00,5.679025E+01,0.000000E+00,5.012321E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
06:40:00,0.000000E+00,5.676142E+01,0.000000E+00,5.009777E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
06:50:00,0.000000E+00,5.692637E+01,0.000000E+00,5.024336E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
07:00:00,0.000000E+00,5.729617E+01,0.000000E+00,5.056974E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
07:10:00,0.000000E+00,5.829002E+01,0.000000E+00,5.144691E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
07:20:00,0.000000E+00,6.076367E+01,0.000000E+00,5.363016E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
07:30:00,0.000000E+00,6.581252E+01,0.000000E+00,5.808629E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
07:40:00,0.000000E+00,7.468138E+01,0.000000E+00,6.591397E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
07:50:00,0.000000E+00,8.851361E+01,0.000000E+00,7.812233E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
08:00:00,0.000000E+00,1.082463E+02,0.000000E+00,9.553848E-03,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
08:10:00,0.000000E+00,1.342368E+02,0.000000E+00,1.184777E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
08:20:00,0.000000E+00,1.662649E+02,0.000000E+00,1.467459E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
08:30:00,0.000000E+00,2.037365E+02,0.000000E+00,1.798183E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
08:40:00,0.000000E+00,2.459547E+02,0.000000E+00,2.170802E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
08:50:00,0.000000E+00,2.921287E+02,0.000000E+00,2.578335E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
09:00:00,0.000000E+00,3.414794E+02,0.000000E+00,3.013906E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
09:10:00,0.000000E+00,3.932501E+02,0.000000E+00,3.470835E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
09:20:00,0.000000E+00,4.467268E+02,0.000000E+00,3.942822E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
09:30:00,0.000000E+00,5.012547E+02,0.000000E+00,4.424087E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
09:40:00,0.000000E+00,5.560716E+02,0.000000E+00,4.907902E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
09:50:00,0.000000E+00,6.105595E+02,0.000000E+00,5.388814E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
10:00:00,0.000000E+00,6.642525E+02,0.000000E+00,5.862709E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
10:10:00,0.000000E+00,7.167685E+02,0.000000E+00,6.326217E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
10:20:00,0.000000E+00,7.677818E+02,0.000000E+00,6.776461E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
10:30:00,0.000000E+00,8.170182E+02,0.000000E+00,7.211023E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
10:40:00,0.000000E+00,8.642495E+02,0.000000E+00,7.627888E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
10:50:00,0.000000E+00,9.093393E+02,0.000000E+00,8.025851E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
11:00:00,0.000000E+00,9.521262E+02,0.000000E+00,8.403490E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
11:10:00,0.000000E+00,9.924654E+02,0.000000E+00,8.759524E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
11:20:00,0.000000E+00,1.030228E+03,0.000000E+00,9.092814E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
11:30:00,0.000000E+00,1.065305E+03,0.000000E+00,9.402412E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
11:40:00,0.000000E+00,1.097621E+03,0.000000E+00,9.687626E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
11:50:00,0.000000E+00,1.127068E+03,0.000000E+00,9.947530E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
12:00:00,0.000000E+00,1.153624E+03,0.000000E+00,1.018192E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
12:10:00,0.000000E+00,1.177299E+03,0.000000E+00,1.039087E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
12:20:00,0.000000E+00,1.198132E+03,0.000000E+00,1.057474E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
12:30:00,0.000000E+00,1.216182E+03,0.000000E+00,1.073405E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
12:40:00,0.000000E+00,1.231517E+03,0.000000E+00,1.086940E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
12:50:00,0.000000E+00,1.244215E+03,0.000000E+00,1.098147E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
13:00:00,0.000000E+00,1.254361E+03,0.000000E+00,1.107102E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
13:10:00,0.000000E+00,1.262245E+03,0.000000E+00,1.114061E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
13:20:00,0.000000E+00,1.268523E+03,0.000000E+00,1.119601E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
13:30:00,0.000000E+00,1.273975E+03,0.000000E+00,1.124413E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
13:40:00,0.000000E+00,1.279316E+03,0.000000E+00,1.129127E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
13:50:00,0.000000E+00,1.285164E+03,0.000000E+00,1.134289E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
14:00:00,0.000000E+00,1.292049E+03,0.000000E+00,1.140366E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
14:10:00,0.000000E+00,1.300199E+03,0.000000E+00,1.147559E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
14:20:00,0.000000E+00,1.309401E+03,0.000000E+00,1.155681E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
14:30:00,0.000000E+00,1.319248E+03,0.000000E+00,1.164371E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
14:40:00,0.000000E+00,1.329337E+03,0.000000E+00,1.173276E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
14:50:00,0.000000E+00,1.339303E+03,0.000000E+00,1.182072E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
15:00:00,0.000000E+00,1.348812E+03,0.000000E+00,1.190465E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
15:10:00,0.000000E+00,1.357555E+03,0.000000E+00,1.198181E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
15:20:00,0.000000E+00,1.365238E+03,0.000000E+00,1.204963E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052325E+01
15:30:00,0.000000E+00,1.371541E+03,0.000000E+00,1.210526E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
15:40:00,0.000000E+00,1.376230E+03,0.000000E+00,1.214664E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
15:50:00,0.000000E+00,1.379087E+03,0.000000E+00,1.217185E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
16:00:00,0.000000E+00,1.379916E+03,0.000000E+00,1.217918E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.500000E+01,4.052324E+01
